,title,clean_description,cleaner_description,cluster
987,Shahr-i Sokhta,"Shahr-i Sokhta, meaning ‘Burnt City', is located at the junction of Bronze Age trade routes crossing the Iranian plateau. The remains of the mudbrick city represent the emergence of the first complex societies in eastern Iran. Founded around 3200 BC, it was populated during four main periods up to 1800 BC, during which time there developed several distinct areas within the city: those where monuments were built, and separate quarters for housing, burial and manufacture. Diversions in water courses and climate change led to the eventual abandonment of the city in the early second millennium. The structures, burial grounds and large number of significant artefacts unearthed there, and their well-preserved state due to the dry desert climate, make this site a rich source of information regarding the emergence of complex societies and contacts between them in the third millennium BC. ",sokhta meaning burnt located junction bronze trade route crossing iranian plateau remains mudbrick represent emergence first complex society eastern iran founded around bc populated four main bc time developed several distinct within monument separate quarter housing burial manufacture diversion water course climate change led eventual abandonment second millennium structure burial ground large number significant artefact unearthed state due dry desert climate make rich source information regarding emergence complex society contact third millennium bc,2
988,"Shark Bay, Western Australia","At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (‘sea cow’) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals. ",westerly point australian continent shark bay island land surrounding three exceptional natural feature vast bed largest richest dugong sea cow population stromatolites colony algae form hard deposit among oldest form life earth shark bay also home five specie endangered mammal,1
989,Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,"Built between the beginning of the 16th  century and the end of the 18th  century, this place of spiritual retreat in the Sufi tradition uses Iranian traditional architectural forms to maximize use of available space to accommodate a variety of functions (including a library, a mosque, a school, mausolea, a cistern, a hospital, kitchens, a bakery, and some offices). It incorporates a route to reach the shrine of the Sheikh divided into seven segments, which mirror the seven stages of Sufi mysticism, separated by eight gates, which represent the eight attitudes of Sufism. The ensemble includes well-preserved and richly ornamented facades and interiors, with a remarkable collection of antique artefacts. It constitutes a rare ensemble of elements of medieval Islamic architecture. ",beginning end spiritual retreat sufi tradition us iranian traditional architectural form maximize use available space accommodate variety function including library mosque school mausoleum cistern hospital kitchen bakery office incorporates route reach shrine sheikh divided seven segment mirror seven stage sufi mysticism separated eight gate represent eight attitude sufism ensemble includes richly ornamented facade interior remarkable collection antique artefact constitutes rare ensemble element medieval islamic architecture,2
990,Shirakami-Sanchi,"Situated in the mountains of northern Honshu, this trackless site includes the last virgin remains of the cool-temperate forest of Siebold's beech trees that once covered the hills and mountain slopes of northern Japan. The black bear, the serow and 87 species of birds can be found in this forest. ",situated mountain northern honshu trackless includes last virgin remains forest siebold beech tree covered hill mountain slope northern japan black bear serow specie bird found forest,1
991,Shiretoko,"Shiretoko Peninsula is located in the north-east of Hokkaido, the northernmost island of Japan. The site includes the land from the central part of the peninsula to its tip (Shiretoko Cape) and the surrounding marine area. It provides an outstanding example of the interaction of marine and terrestrial ecosystems as well as extraordinary ecosystem productivity, largely influenced by the formation of seasonal sea ice at the lowest latitude in the northern hemisphere. It has particular importance for a number of marine and terrestrial species, some of them endangered and endemic, such as Blackiston's fish owl and the Viola kitamiana plant. The site is globally important for threatened seabirds and migratory birds, a number of salmonid species, and for marine mammals including Steller's sea lion and some cetacean species. ",shiretoko peninsula located hokkaido northernmost island japan includes land central part peninsula tip shiretoko cape surrounding marine provides interaction marine terrestrial ecosystem well extraordinary ecosystem productivity largely influenced formation seasonal sea ice lowest latitude northern hemisphere particular importance number marine terrestrial specie endangered endemic blackiston fish owl viola kitamiana plant globally important threatened seabird migratory bird number salmonid specie marine mammal including steller sea lion cetacean specie,1
992,Shrines and Temples of Nikko,"The shrines and temples of Nikko, together with their natural surroundings, have for centuries been a sacred site known for its architectural and decorative masterpieces. They are closely associated with the history of the Tokugawa Shoguns. ",shrine temple nikko together natural surroundings sacred known architectural decorative masterpiece closely associated history tokugawa shogun,2
993,"ShUM Sites of Speyer, Worms and Mainz","Located in the former Imperial cathedral cities of Speyer, Worms and Mainz, in the Upper Rhine Valley, the serial site of Speyer, Worms and Mainz comprise the Speyer Jewry-Court, with the structures of the synagogue and women's shul (Yiddish for synagogue), the archaeological vestiges of the yeshiva (religious school), the courtyard and the still intact underground mikveh (ritual bath), which has retained its high architectural and building quality. The property also comprises the Worms Synagogue Compound, with its in situ post-war reconstruction of the 12th century synagogue and 13th century women's shul, the community hall (Rashi House), and the monumental 12th-century mikveh. The series also includes the Old Jewish Cemetery in Worms and the Old Jewish Cemetery in Mainz. The four component sites tangibly reflect the early emergence of distinctive Ashkenaz customs and the development and settlement pattern of the ShUM communities, particularly between the 11th and the 14th centuries. The buildings that constitute the property served as prototypes for later Jewish community and religious buildings as well as cemeteries in Europe. The acronym ShUM stands for the Hebrew initials of Speyer, Worms and Mainz. ",located former imperial cathedral speyer worm mainz upper rhine valley serial speyer worm mainz comprise speyer structure synagogue woman shul yiddish synagogue archaeological vestige yeshiva religious school courtyard still intact underground mikveh ritual bath retained high architectural quality also comprises worm synagogue compound situ reconstruction synagogue woman shul community hall rashi house monumental mikveh series also includes jewish cemetery worm jewish cemetery mainz four component tangibly reflect emergence distinctive ashkenaz custom development settlement pattern shum community particularly constitute served prototype later jewish community religious well cemetery europe acronym shum stand hebrew initial speyer worm mainz,0
994,Shushtar Historical Hydraulic System,"Shushtar, Historical Hydraulic System, inscribed as a masterpiece of creative genius, can be traced back to Darius the Great in the 5th century B.C. It involved the creation of two main diversion canals on the river Kârun one of which, Gargar canal, is still in use providing water to the city of Shushtar via a series of tunnels that supply water to mills. It forms a spectacular cliff from which water cascades into a downstream basin. It then enters the plain situated south of the city where it has enabled the planting of orchards and farming over an area of 40,000 ha. known as Mianâb (Paradise). The property has an ensemble of remarkable sites including the Salâsel Castel, the operation centre of the entire hydraulic system, the tower where the water level is measured, dams, bridges, basins and mills. It bears witness to the know-how of the Elamites and Mesopotamians as well as more recent Nabatean expertise and Roman building influence. ",shushtar historical hydraulic system inscribed masterpiece creative genius traced back darius great involved creation two main diversion canal river kârun one gargar canal still use providing water shushtar via series tunnel supply water mill form spectacular cliff water cascade downstream basin enters plain situated south enabled planting orchard farming ha known mianâb paradise ensemble remarkable including salâsel castel operation centre entire hydraulic system tower water level measured dam bridge basin mill bear witness elamite mesopotamians well recent nabatean expertise roman influence,2
995,Sian Ka'an,"In the language of the Mayan peoples who once inhabited this region, Sian Ka'an means 'Origin of the Sky'. Located on the east coast of the Yucatán peninsula, this biosphere reserve contains tropical forests, mangroves and marshes, as well as a large marine section intersected by a barrier reef. It provides a habitat for a remarkably rich flora and a fauna comprising more than 300 species of birds, as well as a large number of the region's characteristic terrestrial vertebrates, which cohabit in the diverse environment formed by its complex hydrological system. ",language mayan people inhabited sian mean sky located east coast yucatán peninsula biosphere reserve contains tropical forest mangrove marsh well large marine section intersected barrier reef provides habitat remarkably rich flora fauna comprising specie bird well large number characteristic terrestrial vertebrate cohabit diverse environment formed complex hydrological system,1
996,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains","Sichuan Giant Panda Sanctuaries, home to more than 30% of the world's pandas which are classed as highly endangered, covers 924,500 ha with seven nature reserves and nine scenic parks in the Qionglai and Jiajin Mountains. The sanctuaries constitute the largest remaining contiguous habitat of the giant panda, a relict from the paleo-tropic forests of the Tertiary Era. It is also the species' most important site for captive breeding. The sanctuaries are home to other globally endangered animals such as the red panda, the snow leopard and clouded leopard. They are among the botanically richest sites of any region in the world outside the tropical rainforests, with between 5,000 and 6,000 species of flora in over 1,000 genera. ",sichuan giant panda sanctuary home panda classed highly endangered cover ha seven nature reserve nine scenic park qionglai jiajin mountain sanctuary constitute largest remaining contiguous habitat giant panda relict forest tertiary era also specie important captive breeding sanctuary home globally endangered animal red panda snow leopard clouded leopard among botanically richest outside tropical rainforest specie flora genus,1
997,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"This property is a 5,000 km section of the extensive Silk Roads network, stretching from Chang'an/Luoyang, the central capital of China in the Han and Tang dynasties, to the Zhetysu region of Central Asia. It took shape between the 2nd century BC and 1st century AD and remained in use until the 16th century, linking multiple civilizations and facilitating far-reaching exchanges of activities in trade, religious beliefs, scientific knowledge, technological innovation, cultural practices and the arts. The thirty-three components included in the routes network include capital cities and palace complexes of various empires and Khan kingdoms, trading settlements, Buddhist cave temples, ancient paths, posthouses, passes, beacon towers, sections of The Great Wall, fortifications, tombs and religious buildings. ",section extensive silk road network stretching central capital china han tang dynasty zhetysu central asia took shape bc ad remained use linking multiple civilization facilitating exchange activity trade religious belief scientific knowledge technological innovation practice art component included route network include capital palace complex various empire khan kingdom trading settlement buddhist cave temple ancient path posthouse pass beacon tower section great wall fortification tomb religious,2
998,Silk Roads: Zarafshan-Karakum Corridor,"The Zarafshan-Karakum Corridor is a key section of the Silk Roads in Central Asia that connects other corridors from all directions. Located in rugged mountains, fertile river valleys, and uninhabitable desert, the 866-kilometre corridor runs from east to west along the Zarafshan River and further southwest following the ancient caravan roads crossing the Karakum Desert to the Merv Oasis. Channelling much of the east-west exchange along the Silk Roads from the 2nd century BCE to the 16th century CE, a large quantity of goods was traded along the corridor. People travelled, settled, conquered, or were defeated here, making it a melting pot of ethnicities, cultures, religions, sciences, and technologies. ",corridor key section silk road central asia connects corridor direction located rugged mountain fertile river valley uninhabitable desert corridor run east west along zarafshan river southwest following ancient caravan road crossing karakum desert merv oasis channelling much exchange along silk road bce ce large quantity good traded along corridor people travelled settled conquered defeated making melting pot ethnicity culture religion science technology,2
999,Simien National Park,"Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world. ",massive erosion ethiopian plateau created one spectacular landscape jagged mountain peak deep valley sharp precipice dropping park home extremely rare animal gelada baboon simien fox walia ibex goat found nowhere else,1
1000,Singapore Botanic Gardens,"Situated at the heart of the city of Singapore, the site demonstrates the evolution of a British tropical colonial botanic garden that has become a modern world-class scientific institution used for both conservation and education. The cultural landscape includes a rich variety of historic features, plantings and buildings that demonstrate the development of the garden since its creation in 1859. It has been an important centre for science, research and plant conservation, notably in connection with the cultivation of rubber plantations, in Southeast Asia since 1875. ",situated heart singapore demonstrates evolution british tropical colonial botanic garden become scientific institution used conservation education landscape includes rich variety feature planting demonstrate development garden since creation important centre science research plant conservation notably connection cultivation rubber plantation southeast asia since,1
1001,Sinharaja Forest Reserve,"Located in south-west Sri Lanka, Sinharaja is the country's last viable area of primary tropical rainforest. More than 60% of the trees are endemic and many of them are considered rare. There is much endemic wildlife, especially birds, but the reserve is also home to over 50% of Sri Lanka's endemic species of mammals and butterflies, as well as many kinds of insects, reptiles and rare amphibians. ",located sri lanka sinharaja country last viable primary tropical rainforest tree endemic many considered rare much endemic wildlife especially bird reserve also home sri lanka endemic specie mammal butterfly well many kind insect reptile rare amphibian,1
1002,Site of Palmyra,"An oasis in the Syrian desert, north-east of Damascus, Palmyra contains the monumental ruins of a great city that was one of the most important cultural centres of the ancient world. From the 1st to the 2nd century, the art and architecture of Palmyra, standing at the crossroads of several civilizations, married Graeco-Roman techniques with local traditions and Persian influences. ",oasis syrian desert damascus palmyra contains monumental ruin great one important centre ancient art architecture palmyra standing crossroad several civilization married technique local tradition persian influence,2
1003,Site of Xanadu,"North of the Great Wall, the Site of Xanadu encompasses the remains of Kublai Khan’s legendary capital city, designed by the Mongol ruler’s Chinese advisor Liu Bingzhdong in 1256. Over a surface area of 25,000 ha, the site was a unique attempt to assimilate the nomadic Mongolian and Han Chinese cultures. From this base, Kublai Khan established the Yuan dynasty that ruled China over a century, extending its boundaries across Asia. The religious debate that took place here resulted in the dissemination of Tibetan Buddhism over north-east Asia, a cultural and religious tradition still practised in many areas today. The site was planned according to traditional Chinese feng shui in relation to the nearby mountains and river. It features the remains of the city, including temples, palaces, tombs, nomadic encampments and the Tiefan’gang Canal, along with other waterworks. ",north great wall xanadu encompasses remains kublai khan legendary capital designed mongol ruler chinese advisor liu bingzhdong surface ha unique attempt assimilate nomadic mongolian han chinese culture base kublai khan established yuan dynasty ruled china extending boundary across asia religious debate took resulted dissemination tibetan buddhism asia religious tradition still practised many today planned according traditional chinese feng shui relation nearby mountain river feature remains including temple palace tomb nomadic encampment tiefan gang canal along waterworks,2
1004,Sites of Human Evolution at Mount Carmel: The Nahal Me'arot / Wadi el-Mughara Caves,"Situated on the western slopes of the Mount Carmel range, the site includes the caves of Tabun, Jamal, el-Wad and Skhul. Ninety years of archaeological research have revealed a cultural sequence of unparalleled duration, providing an archive of early human life in south-west Asia. This 54 ha property contains cultural deposits representing at least 500,000 years of human evolution demonstrating the unique existence of both Neanderthals andEarly Anatomically Modern Humans within the same Middle Palaeolithic cultural framework, the Mousterian. Evidence from numerous Natufian burials and early stone architecture represents the transition from a hunter-gathering lifestyle to agriculture and animal husbandry. As a result, the caves have become a key site of the chrono-stratigraphic framework for human evolution in general, and the prehistory of the Levant in particular.
  ",situated western slope mount carmel range includes cave tabun jamal skhul ninety archaeological research revealed sequence unparalleled duration providing archive human life asia ha contains deposit representing least human evolution demonstrating unique existence neanderthal andearly anatomically human within middle palaeolithic framework mousterian evidence numerous natufian burial stone architecture represents transition lifestyle agriculture animal husbandry result cave become key framework human evolution general prehistory levant particular,2
1005,"Sites of Japan's Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining","The site encompasses a series of twenty three component parts, mainly located in the southwest of Japan. It bears testimony to the rapid industrialization of the country from the middle of the 19th century to the early 20th century, through the development of the iron and steel industry, shipbuilding and coal mining. The site illustrates the process by which feudal Japan sought technology transfer from Europe and America from the middle of the 19th century and how this technology was adapted to the country's needs and social traditions. The site testifies to what is considered to be the first successful transfer of Western industrialization to a non-Western nation. ",encompasses series twenty three component part mainly located southwest japan bear testimony rapid industrialization country middle development iron steel industry shipbuilding coal mining illustrates process feudal japan sought technology transfer europe america middle technology adapted country need social tradition testifies considered first successful transfer western industrialization nation,2
1006,Sítio Roberto Burle Marx,"Situated in the western region of Rio de Janeiro, the property embodies a successful project developed over more than 40 years by landscape architect and artist Roberto Burle Marx (1909-1994), a ""landscape laboratory” to create ""living works of art” using native plants and drawing on Modernist ideas. Began in 1949, the property encompasses extensive landscapes, gardens, buildings and collections, which feature the key characteristics that came to define Burle Marx's landscape gardens and influenced the development of modern gardens internationally. The site is characterized by sinuous forms, exuberant mass planting, architectural plant arrangements, dramatic colour contrasts, use of tropical plants, and the incorporation of elements of traditional folk culture. By the end of the 1960s, the site housed the most representative collection of Brazilian plants, alongside other rare tropical species. In the site, 3,500 cultivated species of tropical and subtropical flora grow in harmony with the native vegetation of the region, notably the Atlantic Forest biome and associated ecosystems, mangrove swamp and restinga (coastal tropical sandy plain). Sítio Roberto Burle Marx exhibits an ecological conception of form as a process, including social collaboration which is the basis for environmental and cultural preservation. It comprises the first modern tropical garden to be inscribed on the World Heritage List. ",situated western rio de janeiro embodies successful project developed landscape architect artist roberto burle marx landscape laboratory create living work art using native plant drawing modernist idea began encompasses extensive landscape garden collection feature key characteristic came define burle marx landscape garden influenced development garden internationally characterized sinuous form exuberant mass planting architectural plant arrangement dramatic colour contrast use tropical plant incorporation element traditional folk culture end housed representative collection brazilian plant alongside rare tropical specie cultivated specie tropical subtropical flora grow harmony native vegetation notably atlantic forest biome associated ecosystem mangrove swamp restinga coastal tropical sandy plain sítio roberto burle marx exhibit ecological conception form process including social collaboration basis environmental preservation comprises first tropical garden inscribed heritage list,0
1007,Škocjan Caves,"This exceptional system of limestone caves comprises collapsed dolines, some 6 km of underground passages with a total depth of more than 200 m, many waterfalls and one of the largest known underground chambers. The site, located in the Kras region (literally meaning Karst), is one of the most famous in the world for the study of karstic phenomena. ",exceptional system limestone cave comprises collapsed dolines underground passage total depth many waterfall one largest known underground chamber located kras literally meaning karst one famous study karstic phenomenon,2
1008,Skogskyrkogården,"This Stockholm cemetery was created between 1917 and 1920 by two young architects, Asplund and Lewerentz, on the site of former gravel pits overgrown with pine trees. The design blends vegetation and architectural elements, taking advantage of irregularities in the site to create a landscape that is finely adapted to its function. It has had a profound influence in many countries of the world. ",stockholm cemetery created two young architect asplund lewerentz former gravel pit overgrown pine tree design blend vegetation architectural element taking advantage irregularity create landscape finely adapted function profound influence many country,0
1009,Socotra Archipelago,"Socotra Archipelago, in the northwest Indian Ocean near the Gulf of Aden, is 250 km long and comprises four islands and two rocky islets which appear as a prolongation of the Horn of Africa. The site is of universal importance because of its biodiversity with rich and distinct flora and fauna: 37% of Socotra’s 825 plant species, 90% of its reptile species and 95% of its land snail species do not occur anywhere else in the world. The site also supports globally significant populations of land and sea birds (192 bird species, 44 of which breed on the islands while 85 are regular migrants), including a number of threatened species. The marine life of Socotra is also very diverse, with 253 species of reef-building corals, 730 species of coastal fish and 300 species of crab, lobster and shrimp. ",socotra archipelago northwest indian ocean near gulf aden long comprises four island two rocky islet appear prolongation horn africa universal importance biodiversity rich distinct flora fauna socotra plant specie reptile specie land snail specie occur anywhere else also support globally significant population land sea bird bird specie breed island regular migrant including number threatened specie marine life socotra also diverse specie coral specie coastal fish specie crab lobster shrimp,1
1010,Soltaniyeh,"The mausoleum of Oljaytu was constructed in 1302–12 in the city of Soltaniyeh, the capital of the Ilkhanid dynasty, which was founded by the Mongols. Situated in the province of Zanjan, Soltaniyeh is one of the outstanding examples of the achievements of Persian architecture and a key monument in the development of its Islamic architecture. The octagonal building is crowned with a 50 m tall dome covered in turquoise-blue faience and surrounded by eight slender minarets. It is the earliest existing example of the double-shelled dome in Iran. The mausoleum's interior decoration is also outstanding and scholars such as A.U. Pope have described the building as ‘anticipating the Taj Mahal'. ",mausoleum oljaytu constructed soltaniyeh capital ilkhanid dynasty founded mongol situated province zanjan soltaniyeh one achievement persian architecture key monument development islamic architecture octagonal crowned tall dome covered faience surrounded eight slender minaret earliest existing dome iran mausoleum interior decoration also scholar pope described anticipating taj mahal,2
1011,South China Karst,"South China Karst is one of the world's most spectacular examples of humid tropical to subtropical karst landscapes. It is a serial site spread over the provinces of Guizhou, Guangxi, Yunnan and Chongqing and covers 97,125 hectares. It contains the most significant types of karst landforms, including tower karst, pinnacle karst and cone karst formations, along with other spectacular characteristics such as natural bridges, gorges and large cave systems. The stone forests of Shilin are considered superlative natural phenomena and a world reference. The cone and tower karsts of Libo, also considered the world reference site for these types of karst, form a distinctive and beautiful landscape. Wulong Karst has been inscribed for its giant dolines (sinkholes), natural bridges and caves. ",south china karst one spectacular humid tropical subtropical karst landscape serial spread province guizhou guangxi yunnan chongqing cover hectare contains significant type karst landforms including tower karst pinnacle karst cone karst formation along spectacular characteristic natural bridge gorge large cave system stone forest shilin considered superlative natural phenomenon reference cone tower karsts libo also considered reference type karst form distinctive beautiful landscape wulong karst inscribed giant dolines sinkhole natural bridge cave,1
1012,Speicherstadt and Kontorhaus District with Chilehaus,"Speicherstadt and the adjacent Kontorhaus district are two densely built urban areas in the centre of the port city of Hamburg. Speicherstadt, originally developed on a group of narrow islands in the Elbe River between 1885 and 1927, was partly rebuilt from 1949 to 1967. It is one of the largest coherent historic ensembles of port warehouses in the world (300,000 m2). It includes 15 very large warehouse blocks as well as six ancillary buildings and a connecting network of short canals. Adjacent to the modernist Chilehaus office building, the Kontorhaus district is an area of over five hectares featuring six very large office complexes built from the 1920s to the 1940s to house port-related businesses. The complex exemplifies the effects of the rapid growth in international trade in the late 19th and early 20th centuries. ",speicherstadt adjacent kontorhaus district two densely urban centre port hamburg speicherstadt originally developed group narrow island elbe river partly rebuilt one largest coherent ensemble port warehouse includes large warehouse block well six ancillary connecting network short canal adjacent modernist chilehaus office kontorhaus district five hectare featuring six large office complex house business complex exemplifies effect rapid growth international trade late,0
1013,Speyer Cathedral,"Speyer Cathedral, a basilica with four towers and two domes, was founded by Conrad II in 1030 and remodelled at the end of the 11th century. It is one of the most important Romanesque monuments from the time of the Holy Roman Empire. The cathedral was the burial place of the German emperors for almost 300 years. ",speyer cathedral basilica four tower two dome founded conrad ii remodelled end one important romanesque monument time holy roman empire cathedral burial german emperor almost,0
1014,Srebarna Nature Reserve,"The Srebarna Nature Reserve is a freshwater lake adjacent to the Danube and extending over 600 ha. It is the breeding ground of almost 100 species of birds, many of which are rare or endangered. Some 80 other bird species migrate and seek refuge there every winter. Among the most interesting bird species are the Dalmatian pelican, great egret, night heron, purple heron, glossy ibis and white spoonbill. ",srebarna nature reserve freshwater lake adjacent danube extending ha breeding ground almost specie bird many rare endangered bird specie migrate seek refuge every winter among interesting bird specie dalmatian pelican great egret night heron purple heron glossy ibis white spoonbill,1
1015,St Kilda,"This volcanic archipelago, with its spectacular landscapes, is situated off the coast of the Hebrides and comprises the islands of Hirta, Dun, Soay and Boreray. It has some of the highest cliffs in Europe, which have large colonies of rare and endangered species of birds, especially puffins and gannets. The archipelago, uninhabited since 1930, bears the evidence of more than 2,000 years of human occupation in the extreme conditions prevalent in the Hebrides. Human vestiges include built structures and field systems, the cleits and the traditional Highland stone houses. They feature the vulnerable remains of a subsistence economy based on the products of birds, agriculture and sheep farming. ",volcanic archipelago spectacular landscape situated coast hebrides comprises island hirta dun soay boreray highest cliff europe large colony rare endangered specie bird especially puffin gannet archipelago uninhabited since bear evidence human occupation extreme condition prevalent hebrides human vestige include structure field system cleits traditional highland stone house feature vulnerable remains subsistence economy based product bird agriculture sheep farming,1
1016,St Mary's Cathedral and St Michael's Church at Hildesheim,"St Michael's Church was built between 1010 and 1020 on a symmetrical plan with two apses that was characteristic of Ottonian Romanesque art in Old Saxony. Its interior, in particular the wooden ceiling and painted stucco-work, its famous bronze doors and the Bernward bronze column, are – together with the treasures of St Mary's Cathedral – of exceptional interest as examples of the Romanesque churches of the Holy Roman Empire. ",st michael church symmetrical plan two apse characteristic ottonian romanesque art saxony interior particular wooden ceiling painted famous bronze door bernward bronze column together treasure st mary cathedral exceptional interest romanesque church holy roman empire,0
1017,Stari Grad Plain,"Stari Grad Plain on the Adriatic island of Hvar is a cultural landscape that has remained practically intact since it was first colonized by Ionian Greeks from Paros in the 4th century BC. The original agricultural activity of this fertile plain, mainly centring on grapes and olives, has been maintained since Greek times to the present. The site is also a natural reserve. The landscape features ancient stone walls and trims, or small stone shelters, and bears testimony to the ancient geometrical system of land division used by the ancient Greeks, the chora which has remained virtually intact over 24 centuries. ",stari grad plain adriatic island hvar landscape remained practically intact since first colonized ionian greek paros bc original agricultural activity fertile plain mainly centring grape olive maintained since greek time present also natural reserve landscape feature ancient stone wall trim small stone shelter bear testimony ancient geometrical system land division used ancient greek chora remained virtually intact,0
1018,Stari Ras and Sopoćani,"On the outskirts of Stari Ras, the first capital of Serbia, there is an impressive group of medieval monuments consisting of fortresses, churches and monasteries. The monastery at Sopoćani is a reminder of the contacts between Western civilization and the Byzantine world. ",outskirt stari ra first capital serbia impressive group medieval monument consisting fortress church monastery monastery sopoćani reminder contact western civilization byzantine,0
1019,"State Historical and Cultural Park ""Ancient Merv”","Merv is the oldest and best-preserved of the oasis-cities along the Silk Route in Central Asia. The remains in this vast oasis span 4,000 years of human history. A number of monuments are still visible, particularly from the last two millennia. ",merv oldest along silk route central asia remains vast oasis span human history number monument still visible particularly last two millennium,2
1020,Statue of Liberty,"Made in Paris by the French sculptor Bartholdi, in collaboration with Gustave Eiffel (who was responsible for the steel framework), this towering monument to liberty was a gift from France on the centenary of American independence. Inaugurated in 1886, the sculpture stands at the entrance to New York Harbour and has welcomed millions of immigrants to the United States ever since. ",made paris french sculptor bartholdi collaboration gustave eiffel responsible steel framework towering monument liberty gift france centenary american independence inaugurated sculpture stand entrance new york harbour welcomed million immigrant united state ever since,0
1021,Stećci Medieval Tombstone Graveyards,"This serial property combines 28 sites, located in Bosnia and Herzegovina, western Serbia, western Montenegro and central and southern Croatia, representing these cemeteries and regionally distinctive medieval tombstones, or stećci. The cemeteries, which date from the 12th to 16th centuries CE, are laid out in rows, as was the common custom in Europe from the Middle Ages. The stećci are mostly carved from limestone. They feature a wide range of decorative motifs and inscriptions that represent iconographic continuities within medieval Europe as well as locally distinctive traditions. ",serial combine located bosnia herzegovina western serbia western montenegro central southern croatia representing cemetery regionally distinctive medieval tombstone stećci cemetery date ce laid row common custom europe middle stećci mostly carved limestone feature wide range decorative motif inscription represent iconographic continuity within medieval europe well locally distinctive tradition,0
1022,Stevns Klint,"This geological site comprises a 15 km-long fossil-rich coastal cliff, offering exceptional evidence of the impact of the Chicxulub meteorite that crashed into the planet at the end of the Cretaceous, about 65 million years ago. Researchers think that this caused the most remarkable mass extinction ever, responsible for the disappearance of over 50 per cent of all life on Earth. The site harbours a record of the cloud of ash formed by the impact of the meteorite – the exact site being at the bottom of the ocean off the coast of Mexico's Yucatán Peninsula. An exceptional fossil record is visible at the site, showing the complete succession of fauna and micro-fauna charting the recovery after the mass extinction. ",geological comprises coastal cliff offering exceptional evidence impact chicxulub meteorite crashed planet end cretaceous million researcher think caused remarkable mass extinction ever responsible disappearance per cent life earth harbour record cloud ash formed impact meteorite exact bottom ocean coast mexico yucatán peninsula exceptional fossil record visible showing complete succession fauna charting recovery mass extinction,1
1023,Stoclet House,"When banker and art collector Adolphe Stoclet commissioned this house from one of the leading architects of the Vienna Secession movement, Josef Hoffmann, in 1905, he imposed neither aesthetic nor financial restrictions on the project. The house and garden were completed in 1911 and their austere geometry marked a turning point in Art Nouveau, foreshadowing Art Deco and the Modern Movement in architecture. Stoclet House is one of the most accomplished and homogenous buildings of the Vienna Secession, and features works by Koloman Moser and Gustav Klimt, embodying the aspiration of creating a ‘total work of art' (Gesamtkunstwerk). Bearing testimony to artistic renewal in European architecture, the house retains a high level of integrity, both externally and internally as it retains most of its original fixtures and furnishings. ",banker art collector adolphe stoclet commissioned house one leading architect vienna secession movement josef hoffmann imposed neither aesthetic financial restriction project house garden completed austere geometry marked turning point art nouveau foreshadowing art deco movement architecture stoclet house one accomplished homogenous vienna secession feature work koloman moser gustav klimt embodying aspiration creating total work art gesamtkunstwerk bearing testimony artistic renewal european architecture house retains high level integrity externally internally retains original fixture furnishing,0
1024,Stone Circles of Senegambia,"The site consists of four large groups of stone circles that represent an extraordinary concentration of over 1,000 monuments in a band 100 km wide along some 350 km of the River Gambia. The four groups, Sine Ngayène, Wanar, Wassu and Kerbatch, cover 93 stone circles and numerous tumuli, burial mounds, some of which have been excavated to reveal material that suggest dates between 3rd century BC and 16th century AD. Together the stone circles of laterite pillars and their associated burial mounds present a vast sacred landscape created over more than 1,500 years. It reflects a prosperous, highly organized and lasting society. ",consists four large group stone circle represent extraordinary concentration monument band wide along river gambia four group sine ngayène wanar wassu kerbatch cover stone circle numerous tumuli burial mound excavated reveal material suggest date bc ad together stone circle laterite pillar associated burial mound present vast sacred landscape created reflects prosperous highly organized lasting society,2
1025,Stone Town of Zanzibar,"The Stone Town of Zanzibar is a fine example of the Swahili coastal trading towns of East Africa. It retains its urban fabric and townscape virtually intact and contains many fine buildings that reflect its particular culture, which has brought together and homogenized disparate elements of the cultures of Africa, the Arab region, India, and Europe over more than a millennium. ",stone town zanzibar fine swahili coastal trading town east africa retains urban fabric townscape virtually intact contains many fine reflect particular culture brought together homogenized disparate element culture africa arab india europe millennium,2
1026,"Stonehenge, Avebury and Associated Sites","Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times. ",stonehenge avebury wiltshire among famous group megalith two sanctuary consist circle menhir arranged pattern whose astronomical significance still explored holy nearby neolithic incomparable testimony prehistoric time,2
